InitialBasket	SecondBasket	TotalFrequency	Support	Confidence	Lift
Vou Pra Ai	Onibusfobia	1	0.05	100	19.84
Vou Pra Ai	Papelão	1	0.05	100	19.84
Vou Pra Ai	Ram It Down	1	0.05	100	19.84
Vou Pra Ai	Rock And Roll All Nite	1	0.05	100	19.84
Vou Pra Ai	Rollover D.J.	1	0.05	100	19.84
Vou Pra Ai	Sure Know Something	1	0.05	100	9.92
Vulcão Dub - Fui Eu	Manguetown	1	0.05	100	9.92
Vôo Sobre o Horizonte	All Star	1	0.05	100	19.84
Vôo Sobre o Horizonte	Bumbo Da Mangueira	1	0.05	100	19.84
Vôo Sobre o Horizonte	Dazed and Confused	1	0.05	100	9.92
Vôo Sobre o Horizonte	Die Die My Darling	1	0.05	100	19.84
Vôo Sobre o Horizonte	God Of Thunder	1	0.05	100	19.84
Vôo Sobre o Horizonte	I'm Going Slightly Mad	1	0.05	100	19.84
Vôo Sobre o Horizonte	Lavadeira	1	0.05	100	19.84
Vôo Sobre o Horizonte	Leandro De Itaquera 2001	1	0.05	100	19.84
Vôo Sobre o Horizonte	Man With The Woman Head	1	0.05	100	19.84
Vôo Sobre o Horizonte	Radio GA GA	1	0.05	100	19.84
Vôo Sobre o Horizonte	Sure Know Something	1	0.05	100	9.92
Vôo Sobre o Horizonte	Tanto Tempo	1	0.05	100	19.84
W.M.A.	Arc	1	0.05	100	19.84
W.M.A.	Bohemian Rhapsody	1	0.05	100	19.84
W.M.A.	Brain Damage	1	0.05	100	19.84
W.M.A.	Crystal Ball	1	0.05	100	19.84
W.M.A.	F*Ckin' Up	1	0.05	100	19.84
W.M.A.	Ghost	1	0.05	100	19.84
W.M.A.	Gone	1	0.05	100	19.84
W.M.A.	Jah Seh No	1	0.05	100	19.84
W.M.A.	My Melancholy Blues	1	0.05	100	19.84
W.M.A.	O Bicho Tá Pregando	1	0.05	100	19.84
W.M.A.	Porch	1	0.05	100	19.84
W.M.A.	Somebody To Love	1	0.05	100	19.84
Waiting	Around The World	1	0.05	100	19.84
Waiting	Drown	1	0.05	100	19.84
Waiting	Fly By Night	1	0.05	100	19.84
Waiting	For Your Babies	1	0.05	100	19.84
Waiting	Freewill	1	0.05	100	19.84
Waiting	I Could Die For You	1	0.05	100	19.84
Waiting	I Like Dirt	1	0.05	100	19.84
Waiting	Lucky 13	1	0.05	100	19.84
Waiting	Muçulmano	1	0.05	100	19.84
Waiting	Santana Jam	1	0.05	100	19.84
Waiting	Sir Psycho Sexy	1	0.05	100	19.84
Waiting	The Right Thing	1	0.05	100	19.84
Waiting On A Sign	Paint It Black	1	0.05	100	9.92
Wake Me Up When September Ends	It's So Easy	1	0.05	100	19.84
Wake Me Up When September Ends	Out Ta Get Me	1	0.05	100	19.84
Wake Up	Blind Man	1	0.05	100	19.84
Wake Up	Forgiven	1	0.05	100	19.84
Wake Up	I Can't Remember	1	0.05	100	19.84
Wake Up	I Know Somethin (Bout You)	1	0.05	100	19.84
Wake Up	Ligia	1	0.05	100	19.84
Wake Up	Livin' On The Edge	1	0.05	100	19.84
Wake Up	Problem Child	1	0.05	100	19.84
Wake Up	Rag Doll	1	0.05	100	19.84
Wake Up Alone	I Heard Love Is Blind	1	0.05	100	19.84
Wake Up Alone	Just Friends	1	0.05	100	19.84
Wake Up Alone	Peer Gynt Suite No.1, Op.46: 1. Morning Mood	1	0.05	100	19.84
Wake Up Alone	Rehab (Hot Chip Remix)	1	0.05	100	19.84
Wake Up Alone	"Symphony No. 41 in C Major, K. 551, ""Jupiter"": IV. Molto allegro"	1	0.05	100	19.84
Wake Up Dead Man	Bullet The Blue Sky	1	0.05	100	19.84
Wake Up Dead Man	Hawkmoon 269	1	0.05	100	19.84
Wake Up Dead Man	Silver And Gold	1	0.05	100	19.84
Walk On	...And Found	1	0.05	100	19.84
Walk On	Adrift	1	0.05	100	19.84
Walk On	City Of Blinding Lights	1	0.05	100	19.84
Walk On	Exodus (Part 2) [Season Finale]	1	0.05	100	19.84
Walk On	Hallelujah Here She Comes	1	0.05	100	19.84
Walk On	Mofo	1	0.05	100	19.84
Walk On	S.O.S.	1	0.05	100	19.84
Walk On	Spanish Eyes	1	0.05	100	19.84
Walk On	The 23rd Psalm	1	0.05	100	19.84
Walk On	The Fly	1	0.05	100	19.84
Walk On	The Long Con	1	0.05	100	19.84
Walk On	The Other 48 Days	1	0.05	100	19.84
Walk On	The Whole Truth	1	0.05	100	19.84
Walk To The Water	Bass Trap	1	0.05	100	19.84
Walkabout	Better Halves	1	0.05	100	19.84
Walkabout	Crossroads, Pt. 2	1	0.05	100	19.84
Walkabout	Hero	1	0.05	100	19.84
Walkabout	I Do	1	0.05	100	19.84
Walkabout	Parasite	1	0.05	100	19.84
Walkabout	The Fix	1	0.05	100	19.84
Walkabout	The Glass Ballerina	1	0.05	100	19.84
Walkabout	The Woman King	1	0.05	100	19.84
Walkin' Blues	Hey Hey	1	0.05	100	19.84
Walkin' Blues	Layla	1	0.05	100	9.92
Walkin' Blues	Lonely Stranger	1	0.05	100	19.84
Walking After You	Beira Mar	1	0.05	100	19.84
Walking After You	Come Fly With Me	1	0.05	100	19.84
Walking After You	Disenchanted Lullaby	1	0.05	100	19.84
Walking After You	Estrela (Live)	1	0.05	100	19.84
Walking After You	Hey, Johnny Park!	1	0.05	100	19.84
Walking After You	Juazeiro	1	0.05	100	19.84
Walking After You	Lamento De Carnaval	1	0.05	100	19.84
Walking After You	Lamento Sertanejo	1	0.05	100	19.84
Walking After You	Meu Guarda-Chuva	1	0.05	100	19.84
Walking After You	Nervosa	1	0.05	100	19.84
Walking After You	Over And Out	1	0.05	100	19.84
Walking After You	Straight Out Of Line	1	0.05	100	19.84
Walking After You	Summer Love	1	0.05	100	19.84
Walking Contradiction	Best Thing	1	0.05	100	19.84
Walking Contradiction	Black Diamond	1	0.05	100	19.84
Walking Contradiction	God Gave Rock 'n' Roll To You	1	0.05	100	19.84
Walking Contradiction	Minority	1	0.05	100	19.84
Walking Into Clarksdale	Blue Train	1	0.05	100	19.84
Walking Into Clarksdale	Children Of The Grave	1	0.05	100	19.84
Walking Into Clarksdale	Dee	1	0.05	100	19.84
Walking Into Clarksdale	Relvelation (Mother Earth)	1	0.05	100	19.84
Walking Into Clarksdale	Sons Of Freedom	1	0.05	100	19.84
Walking On The Water	Suzie-Q, Pt. 2	1	0.05	100	19.84
Walking Wounded	Anyway, Anyhow, Anywhere	1	0.05	100	19.84
Walking Wounded	Can't Stand Losing You	1	0.05	100	19.84
Walking Wounded	Get Off Of My Cloud	1	0.05	100	19.84
Walking Wounded	Gimmie Shelters	1	0.05	100	19.84
Walking Wounded	Gyroscope	1	0.05	100	19.84
Walking Wounded	Heaven Coming Down	1	0.05	100	19.84
Walking Wounded	King Of Pain	1	0.05	100	19.84
Walking Wounded	Música No Ar	1	0.05	100	19.84
Walking Wounded	Out Of Tears	1	0.05	100	19.84
Walking Wounded	Pinball Wizard	1	0.05	100	19.84
Walking Wounded	Thief In The Night	1	0.05	100	19.84
Walking Wounded	Você	1	0.05	100	19.84
Wall Of Denial	Bleed Together	1	0.05	100	19.84
Wall Of Denial	Dead And Bloated	1	0.05	100	19.84
Wall Of Denial	Little Linda	1	0.05	100	19.84
Wall Of Denial	Song For Lorraine	1	0.05	100	19.84
Wall Of Denial	Tightrope	1	0.05	100	19.84
Walter's Walk	All My Love	1	0.05	100	19.84
Walter's Walk	Dance Enquanto é Tempo	1	0.05	100	19.84
Walter's Walk	Dancing Days	1	0.05	100	19.84
Walter's Walk	Dazed And Confused	1	0.05	100	9.92
Walter's Walk	Enquanto O Dia Não Vem	1	0.05	100	19.84
Walter's Walk	Every Time I Look At You	1	0.05	100	19.84
Walter's Walk	Filho Maravilha	1	0.05	100	19.84
Walter's Walk	Plaster Caster	1	0.05	100	9.92
Walter's Walk	Salve Simpatia	1	0.05	100	19.84
Walter's Walk	Satch Boogie	1	0.05	100	19.84
Walter's Walk	Stone Free	1	0.05	100	19.84
Walter's Walk	Turbo Lover	1	0.05	100	19.84
Walter's Walk	Voce Inteira	1	0.05	100	19.84
Wanted Dread And Alive	Animal	1	0.05	100	9.92
Wanted Dread And Alive	Be Mine	1	0.05	100	19.84
Wanted Dread And Alive	Bossa	1	0.05	100	19.84
Wanted Dread And Alive	Get Down, Make Love	1	0.05	100	19.84
Wanted Dread And Alive	Get Up	1	0.05	100	19.84
Wanted Dread And Alive	Green Disease	1	0.05	100	19.84
Wanted Dread And Alive	Leash	1	0.05	100	19.84
Wanted Dread And Alive	Nega Do Cabelo Duro	1	0.05	100	19.84
Wanted Dread And Alive	Seven Seas Of Rhye	1	0.05	100	19.84
Wanted Dread And Alive	The Great Gig In The Sky	1	0.05	100	19.84
Wanted Dread And Alive	Untitled	1	0.05	100	9.92
War (The Process)	Back Door Man	1	0.05	100	19.84
War (The Process)	Black Moon Creeping	1	0.05	100	19.84
War (The Process)	Corinna	1	0.05	100	19.84
War (The Process)	Don't Stand so Close to Me	1	0.05	100	19.84
War (The Process)	Love Is Strong	1	0.05	100	19.84
War (The Process)	Message in a Bottle (new classic rock mix)	1	0.05	100	19.84
War (The Process)	Paint It Black	1	0.05	100	9.92
War (The Process)	Sweethearts Together	1	0.05	100	19.84
War Pigs	Beautiful Boy	1	0.05	100	19.84
War Pigs	Gimme Some Truth	1	0.05	100	9.92
War Pigs	Jealous Guy	1	0.05	100	19.84
War Pigs	Never Say Die	1	0.05	100	19.84
War Pigs	Sympton of the Universe	1	0.05	100	19.84
War of the Gods, Pt. 2	Cold Turkey	1	0.05	100	19.84
War of the Gods, Pt. 2	Greetings from Earth, Pt. 2	1	0.05	100	19.84
War of the Gods, Pt. 2	Instant Karma	1	0.05	100	19.84
War of the Gods, Pt. 2	Oh, My Love	1	0.05	100	19.84
War of the Gods, Pt. 2	The Hand of God	1	0.05	100	19.84
Wasting Love	2 Minutes To Midnight	1	0.05	100	6.61
Wasting Love	Brighter Than a Thousand Suns	1	0.05	100	19.84
Wasting Love	Deep Waters	1	0.05	100	19.84
Wasting Love	Lord of Light	1	0.05	100	19.84
Wasting Love	Shotgun Blues	1	0.05	100	19.84
Wasting Love	Thinking 'Bout Tomorrow	1	0.05	100	19.84
Wasting Love	Transylvania	1	0.05	100	19.84
Waterhole (Expresso Bongo)	2 X 4	1	0.05	100	19.84
Waterhole (Expresso Bongo)	Aquilo	1	0.05	100	19.84
Waterhole (Expresso Bongo)	Assaltaram A Gramática	1	0.05	100	19.84
Waterhole (Expresso Bongo)	Condição	1	0.05	100	19.84
Waterhole (Expresso Bongo)	Dança Da Solidão	1	0.05	100	19.84
Waterhole (Expresso Bongo)	Down by the Sea	1	0.05	100	19.84
Waterhole (Expresso Bongo)	Helpless	1	0.05	100	9.92
Waterhole (Expresso Bongo)	Motorbreath	1	0.05	100	19.84
Waterhole (Expresso Bongo)	Save The Children	1	0.05	100	19.84
Waterhole (Expresso Bongo)	Stone Cold Crazy	1	0.05	100	19.84
Waterhole (Expresso Bongo)	Tempos Modernos	1	0.05	100	19.84
Waterhole (Expresso Bongo)	The Unforgiven	1	0.05	100	9.92
Wave (Os Cariocas)	Garota de Ipanema (Dick Farney)	1	0.05	100	19.84
We Are The Champions	Arc	1	0.05	100	19.84
We Are The Champions	Bohemian Rhapsody	1	0.05	100	19.84
We Are The Champions	Brain Damage	1	0.05	100	19.84
We Are The Champions	Crystal Ball	1	0.05	100	19.84
We Are The Champions	F*Ckin' Up	1	0.05	100	19.84
We Are The Champions	Ghost	1	0.05	100	19.84
We Are The Champions	Gone	1	0.05	100	19.84
We Are The Champions	Jah Seh No	1	0.05	100	19.84
We Are The Champions	My Melancholy Blues	1	0.05	100	19.84
We Are The Champions	O Bicho Tá Pregando	1	0.05	100	19.84
We Are The Champions	Porch	1	0.05	100	19.84
We Are The Champions	Somebody To Love	1	0.05	100	19.84
We Are The Champions	W.M.A.	1	0.05	100	19.84
We Will Rock You	Flash	1	0.05	100	19.84
We Will Rock You	Me In Honey	1	0.05	100	19.84
We Will Rock You	Spread Your Wings	1	0.05	100	19.84
We're Gonna Groove	Going To California	1	0.05	100	19.84
We're Gonna Groove	I Still Love You	1	0.05	100	19.84
We're Gonna Groove	Nothin' To Lose	1	0.05	100	19.84
We're Gonna Groove	Ozone Baby	1	0.05	100	19.84
We're Gonna Groove	Since I've Been Loving You	1	0.05	100	9.92
Wear You To The Ball	C'est La Vie	1	0.05	100	19.84
Wear You To The Ball	Dirty Day	1	0.05	100	19.84
Wear You To The Ball	I Would Do For You	1	0.05	100	19.84
Wear You To The Ball	Stay (Faraway, So Close!)	1	0.05	100	19.84
Wearing And Tearing	Black Dog	1	0.05	100	9.92
Wearing And Tearing	Hot Dog	1	0.05	100	19.84
Wearing And Tearing	Misty Mountain Hop	1	0.05	100	19.84
Wearing And Tearing	The Crunge	1	0.05	100	19.84
Wearing And Tearing	The Ocean	1	0.05	100	19.84
Welcome Home (Sanitarium)	Angela	1	0.05	50	9.92
Welcome Home (Sanitarium)	Bleed The Freak	1	0.05	50	9.92
Welcome Home (Sanitarium)	Confusion	1	0.05	50	9.92
Welcome Home (Sanitarium)	Master Of Puppets	1	0.05	50	4.96
Welcome Home (Sanitarium)	Not The Doctor	1	0.05	50	9.92
Welcome Home (Sanitarium)	Por Causa De Você	1	0.05	50	9.92
Welcome Home (Sanitarium)	Right Through You	1	0.05	50	9.92
Welcome Home (Sanitarium)	Set It Off	1	0.05	50	9.92
Welcome Home (Sanitarium)	The Thing That Should Not Be	1	0.05	50	9.92
Welcome to the Jungle	I Am	1	0.05	100	19.84
Welcome to the Jungle	Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home	1	0.05	100	19.84
Welcome to the Jungle	Letterbomb	1	0.05	100	19.84
Welcome to the Jungle	Mr. Brownstone	1	0.05	100	19.84
Welcome to the Jungle	St. Jimmy	1	0.05	100	19.84
Wellington's Victory or the Battle Symphony, Op.91: 2. Symphony of Triumph	Concerto for Cello and Orchestra in E minor, Op. 85: I. Adagio - Moderato	1	0.05	100	19.84
Wellington's Victory or the Battle Symphony, Op.91: 2. Symphony of Triumph	Romeo et Juliette: No. 11 - Danse des Chevaliers	1	0.05	100	19.84
Were Do We Go From Here	Black Capricorn Day	1	0.05	100	19.84
Were Do We Go From Here	Can You See Me	1	0.05	100	19.84
Were Do We Go From Here	Get What You Need	1	0.05	100	19.84
Were Do We Go From Here	Light Years	1	0.05	100	19.84
Were Do We Go From Here	Morning Glory	1	0.05	100	19.84
Were Do We Go From Here	Take It Or Leave It	1	0.05	100	19.84
Wet My Bed	Crackerman	1	0.05	100	19.84
What A Day	A Small Victory	1	0.05	100	19.84
What A Day	Easy	1	0.05	100	19.84
What A Day	From Out Of Nowhere	1	0.05	100	19.84
What A Day	The Gentle Art Of Making Enemies	1	0.05	100	19.84
What A Day	Ugly In The Morning	1	0.05	100	19.84
What If I Do?	Avisa	1	0.05	100	19.84
What If I Do?	Burn Away	1	0.05	100	19.84
What If I Do?	Desaforo	1	0.05	100	19.84
What If I Do?	Falamansa Song	1	0.05	100	19.84
What If I Do?	The Last Song	1	0.05	100	19.84
What If I Do?	Times Like These	1	0.05	100	19.84
What If I Do?	Underwater Love	1	0.05	100	19.84
What If I Do?	Virginia Moon	1	0.05	100	19.84
What Is And What Should Never Be	How Many More Times	1	0.05	100	19.84
What It Takes	All I Really Want	1	0.05	100	19.84
What It Takes	Pini Di Roma (Pinien Von Rom) \ I Pini Della Via Appia	1	0.05	100	19.84
What It Takes	Spellbound	1	0.05	100	19.84
What Now My Love	Dujji	1	0.05	100	19.84
What Now My Love	Entrando Na Sua (Intro)	1	0.05	100	19.84
What Now My Love	Esperando Na Janela	1	0.05	100	19.84
What Now My Love	Everlong	1	0.05	100	19.84
What Now My Love	Friend Of A Friend	1	0.05	100	19.84
What Now My Love	It Was A Very Good Year	1	0.05	100	19.84
What Now My Love	Medo De Escuro	1	0.05	100	19.84
What Now My Love	Monkey Wrench	1	0.05	100	19.84
What Now My Love	Surprise! You're Dead!	1	0.05	100	19.84
What Now My Love	Take This Bottle	1	0.05	100	19.84
Whatever Gets You Thru the Night	#9 Dream	1	0.05	100	19.84
Whatever Gets You Thru the Night	Gimme Some Truth	1	0.05	100	9.92
Whatever Gets You Thru the Night	Give Peace a Chance	1	0.05	100	19.84
Whatever It Is, I Just Can't Stop	Black Capricorn Day	1	0.05	100	19.84
Whatever It Is, I Just Can't Stop	Can You See Me	1	0.05	100	19.84
Whatever It Is, I Just Can't Stop	Get What You Need	1	0.05	100	19.84
Whatever It Is, I Just Can't Stop	Light Years	1	0.05	100	19.84
Whatever It Is, I Just Can't Stop	Morning Glory	1	0.05	100	19.84
Whatever It Is, I Just Can't Stop	Take It Or Leave It	1	0.05	100	19.84
Whatever It Is, I Just Can't Stop	Were Do We Go From Here	1	0.05	100	19.84
Whatsername	It's So Easy	1	0.05	100	19.84
Whatsername	Out Ta Get Me	1	0.05	100	19.84
Whatsername	Wake Me Up When September Ends	1	0.05	100	19.84
When Evening Falls	Brain Stew	1	0.05	100	19.84
When Evening Falls	De La Luz	1	0.05	100	19.84
When Evening Falls	Poprocks And Coke	1	0.05	100	19.84
When Evening Falls	Surrender	1	0.05	100	9.92
When I Come Around	Brain Stew	1	0.05	100	19.84
When I Come Around	De La Luz	1	0.05	100	19.84
When I Come Around	Poprocks And Coke	1	0.05	100	19.84
When I Come Around	Surrender	1	0.05	100	9.92
When I Come Around	When Evening Falls	1	0.05	100	19.84
When I Had Your Love	2 X 4	1	0.05	100	19.84
When I Had Your Love	Aquilo	1	0.05	100	19.84
When I Had Your Love	Assaltaram A Gramática	1	0.05	100	19.84
When I Had Your Love	Condição	1	0.05	100	19.84
When I Had Your Love	Dança Da Solidão	1	0.05	100	19.84
When I Had Your Love	Down by the Sea	1	0.05	100	19.84
When I Had Your Love	Helpless	1	0.05	100	9.92
When I Had Your Love	Motorbreath	1	0.05	100	19.84
When I Had Your Love	Save The Children	1	0.05	100	19.84
When I Had Your Love	Stone Cold Crazy	1	0.05	100	19.84
When I Had Your Love	Tempos Modernos	1	0.05	100	19.84
When I Had Your Love	The Unforgiven	1	0.05	100	9.92
When I Had Your Love	Waterhole (Expresso Bongo)	1	0.05	100	19.84
When I Look At The World	All Along The Watchtower	1	0.05	100	19.84
When I Look At The World	Born to Run	1	0.05	100	19.84
When I Look At The World	Dave	1	0.05	100	19.84
When I Look At The World	Everlasting Love	1	0.05	100	19.84
When I Look At The World	Fire + Water	1	0.05	100	19.84
When I Look At The World	God Part II	1	0.05	100	19.84
When I Look At The World	Homecoming	1	0.05	100	19.84
When I Look At The World	Love Is Blindness	1	0.05	100	19.84
When I Look At The World	Miami	1	0.05	100	19.84
When I Look At The World	One	1	0.05	100	19.84
When I Look At The World	Original Of The Species	1	0.05	100	19.84
When I Look At The World	Solitary	1	0.05	100	19.84
When I Look At The World	Vertigo	1	0.05	100	19.84
When Love & Hate Collide	King Of Dreams	1	0.05	100	19.84
When Love & Hate Collide	Metrô. Linha 743	1	0.05	100	19.84
When Love & Hate Collide	Nobody's Home	1	0.05	100	19.84
When Love & Hate Collide	One Man's Meat	1	0.05	100	19.84
When Love & Hate Collide	Otay	1	0.05	100	19.84
When Love & Hate Collide	Palavras Ao Vento	1	0.05	100	19.84
When Love & Hate Collide	Sometimes I Feel Like Screaming	1	0.05	100	19.84
When Love & Hate Collide	Stormbringer	1	0.05	100	9.92
When Love & Hate Collide	The Battle Rages On	1	0.05	100	19.84
When Love Comes To Town	Angel Of Harlem	1	0.05	50	9.92
When Love Comes To Town	Bullet The Blue Sky	1	0.05	50	9.92
When Love Comes To Town	Hawkmoon 269	1	0.05	50	9.92
When Love Comes To Town	Silver And Gold	1	0.05	50	9.92
When Love Comes To Town	Wake Up Dead Man	1	0.05	50	9.92
When My Left Eye Jumps	Body Count Anthem	1	0.05	100	19.84
When My Left Eye Jumps	Bowels Of The Devil	1	0.05	100	19.84
When My Left Eye Jumps	Cornucopia	1	0.05	100	19.84
When My Left Eye Jumps	Dandelion	1	0.05	100	19.84
When My Left Eye Jumps	Esse Cara	1	0.05	100	19.84
When My Left Eye Jumps	Evil Woman	1	0.05	100	19.84
When My Left Eye Jumps	Heart Of Gold	1	0.05	100	19.84
When My Left Eye Jumps	Jerusalem	1	0.05	100	19.84
When My Left Eye Jumps	Meditação	1	0.05	100	19.84
When My Left Eye Jumps	Moon germs	1	0.05	100	19.84
When My Left Eye Jumps	Rock 'N' Roll Music	1	0.05	100	19.84
When My Left Eye Jumps	Super Terrorizer	1	0.05	100	19.84
When The Levee Breaks	Dazed and Confused	1	0.05	100	9.92
When The Levee Breaks	Friends	1	0.05	100	19.84
When The Levee Breaks	I Can't Quit You Baby	1	0.05	100	19.84
When The Levee Breaks	Ramble On	1	0.05	100	19.84
When The Levee Breaks	The Lemon Song	1	0.05	100	19.84
When The World Was Young	Ito Okashi	1	0.05	100	19.84
When The World Was Young	Mr. Crowley	1	0.05	100	19.84
When The World Was Young	O Beco	1	0.05	100	19.84
When The World Was Young	Slug	1	0.05	100	19.84
When You Gonna Learn (Digeridoo)	Black Capricorn Day	1	0.05	100	19.84
When You Gonna Learn (Digeridoo)	Can You See Me	1	0.05	100	19.84
When You Gonna Learn (Digeridoo)	Get What You Need	1	0.05	100	19.84
When You Gonna Learn (Digeridoo)	Light Years	1	0.05	100	19.84
When You Gonna Learn (Digeridoo)	Morning Glory	1	0.05	100	19.84
When You Gonna Learn (Digeridoo)	Take It Or Leave It	1	0.05	100	19.84
When You Gonna Learn (Digeridoo)	Were Do We Go From Here	1	0.05	100	19.84
When You Gonna Learn (Digeridoo)	Whatever It Is, I Just Can't Stop	1	0.05	100	19.84
Where Eagles Dare	04 - Running Free	1	0.05	50	9.92
Where Eagles Dare	05 - Phantom of the Opera	1	0.05	50	9.92
Where Eagles Dare	2 Minutes To Midnight	1	0.05	50	3.31
Where Eagles Dare	Aces High	1	0.05	50	9.92
Where Eagles Dare	Age Of Innocence	1	0.05	50	9.92
Where Eagles Dare	Another Life	1	0.05	50	9.92
Where Eagles Dare	Chains Of Misery	1	0.05	50	9.92
Where Eagles Dare	Face In The Sand	1	0.05	50	9.92
Where Eagles Dare	From Here To Eternity	1	0.05	50	9.92
Where Eagles Dare	Genghis Khan	1	0.05	50	9.92
Where Eagles Dare	Ghost Of The Navigator	1	0.05	50	4.96
Where Eagles Dare	Heaven Can Wait	1	0.05	50	3.31
Where Eagles Dare	Holy Smoke	1	0.05	50	9.92
Where Eagles Dare	Magnetic Ocean	1	0.05	50	9.92
Where Eagles Dare	Run To The Hills	1	0.05	50	4.96
Where Eagles Dare	Running Free	1	0.05	50	9.92
Where Eagles Dare	She Wears Black	1	0.05	50	9.92
Where Eagles Dare	The Fugitive	1	0.05	50	9.92
Where Eagles Dare	The Trooper	1	0.05	50	2.48
Where Eagles Dare	The Wicker Man	2	0.1	100	9.92
Where Have All The Good Times Gone?	C'est La Vie	1	0.05	100	19.84
Where Have All The Good Times Gone?	Dirty Day	1	0.05	100	19.84
Where Have All The Good Times Gone?	I Would Do For You	1	0.05	100	19.84
Where Have All The Good Times Gone?	Stay (Faraway, So Close!)	1	0.05	100	19.84
Where Have All The Good Times Gone?	Wear You To The Ball	1	0.05	100	19.84
Where The River Goes	Cigaro	1	0.05	100	19.84
Where The River Goes	No Memory	1	0.05	100	19.84
Where The River Goes	Piece Of Pie	1	0.05	100	19.84
Where The River Goes	Question!	1	0.05	100	19.84
Where The River Goes	The Sun Road	1	0.05	100	19.84
Where The Wild Things Are	Battery	1	0.05	100	19.84
Where The Wild Things Are	Better Than You	1	0.05	100	19.84
Where The Wild Things Are	Disposable Heroes	1	0.05	100	19.84
Where The Wild Things Are	Fuel	1	0.05	100	19.84
Where The Wild Things Are	Mama Said	1	0.05	100	19.84
Wherever You May Go	Don't You Cry	1	0.05	100	19.84
Wherever You May Go	Living On Love	1	0.05	100	19.84
Wherever You May Go	Macy's Day Parade	1	0.05	100	19.84
Wherever You May Go	Nice Guys Finish Last	1	0.05	100	19.84
Wherever You May Go	Stuck With Me	1	0.05	100	19.84
Whiplash	Cure	1	0.05	100	19.84
Whiplash	Damage Case	1	0.05	100	19.84
Whiplash	Metal Militia	1	0.05	100	19.84
Whiplash	The Four Horsemen	1	0.05	100	19.84
Whiplash	Until It Sleeps	1	0.05	100	19.84
Whiskey In The Jar	Amor Demais	1	0.05	100	19.84
Whiskey In The Jar	Gavioes 2001	1	0.05	100	19.84
Whiskey In The Jar	It's A Hard Life	1	0.05	100	19.84
Whiskey In The Jar	Maria Fumaça	1	0.05	100	19.84
Whiskey In The Jar	Morro Da Casa Verde 2001	1	0.05	100	19.84
Whiskey In The Jar	My Love	1	0.05	100	19.84
Whiskey In The Jar	Na Frente Da TV	1	0.05	100	19.84
Whiskey In The Jar	Only A Dream In Rio	1	0.05	100	19.84
Whiskey In The Jar	Sam With The Showing Scalp Flat Top	1	0.05	100	19.84
Whiskey In The Jar	Samba da Bençaco	1	0.05	100	19.84
Whiskey In The Jar	Só Tinha De Ser Com Você	1	0.05	100	19.84
Whiskey In The Jar	Tapa Aqui, Descobre Ali	1	0.05	100	19.84
Whiskey In The Jar	Travelling Riverside Blues	1	0.05	100	19.84
White Feather	American Woman	1	0.05	100	19.84
White Feather	Brumário	1	0.05	100	19.84
White Feather	De Noite Na Cama	1	0.05	100	19.84
White Feather	Dezesseis	1	0.05	100	9.92
White Feather	Heavy Love Affair	1	0.05	100	19.84
White Feather	Honolulu	1	0.05	100	19.84
White Feather	Last Caress/Green Hell	1	0.05	100	19.84
White Feather	Nothing Else Matters	1	0.05	100	19.84
White Feather	O Xote Das Meninas	1	0.05	100	19.84
White Feather	Pseudo Silk Kimono	1	0.05	100	19.84
White Feather	Seek And You Shall Find	1	0.05	100	19.84
White Feather	Shakes and Ladders	1	0.05	100	19.84
White Feather	Tudo Bem	1	0.05	100	19.84
White Riot	Back Door Man	1	0.05	100	19.84
White Riot	Black Moon Creeping	1	0.05	100	19.84
White Riot	Corinna	1	0.05	100	19.84
White Riot	Don't Stand so Close to Me	1	0.05	100	19.84
White Riot	Love Is Strong	1	0.05	100	19.84
White Riot	Message in a Bottle (new classic rock mix)	1	0.05	100	19.84
White Riot	Paint It Black	1	0.05	100	9.92
White Riot	Sweethearts Together	1	0.05	100	19.84
White Riot	War (The Process)	1	0.05	100	19.84
Who Needs You	Flash	1	0.05	100	19.84
Who Needs You	Me In Honey	1	0.05	100	19.84
Who Needs You	Spread Your Wings	1	0.05	100	19.84
Who Needs You	We Will Rock You	1	0.05	100	19.84
Who Wants To Live Forever	A Kind Of Magic	1	0.05	100	19.84
Who Wants To Live Forever	Astronomy	1	0.05	100	19.84
Who Wants To Live Forever	I Want To Break Free	1	0.05	100	19.84
Who Wants To Live Forever	The Invisible Man	1	0.05	100	19.84
Who Wants To Live Forever	Turn The Page	1	0.05	100	19.84
Who'll Stop The Rain	Commotion	1	0.05	100	19.84
Who'll Stop The Rain	Fortunate Son	1	0.05	100	19.84
Who'll Stop The Rain	Lodi	1	0.05	100	19.84
Whole Lotta Love	Four Sticks	1	0.05	100	19.84
Whole Lotta Love	Hats Off To (Roy) Harper	1	0.05	100	19.84
Whole Lotta Love	Over The Hills And Far Away	1	0.05	100	19.84
Whole Lotta Love	Since I've Been Loving You	1	0.05	100	9.92
Whole Lotta Love (Medley)	Charles Anjo 45	1	0.05	100	19.84
Whole Lotta Love (Medley)	Fire	1	0.05	100	19.84
Whole Lotta Love (Medley)	Highway Chile	1	0.05	100	19.84
Whole Lotta Love (Medley)	Hot Rockin'	1	0.05	100	19.84
Whole Lotta Love (Medley)	Lazy Gun	1	0.05	100	19.84
